PERMNO|DATE|PRC
71475|19970102|21.875
71475|19970103|21.875
71475|19970106|22
71475|19970107|22
71475|19970108|22.25
71475|19970109|22.375
71475|19970110|22.125
71475|19970113|22
71475|19970114|22.25
71475|19970115|22.25
71475|19970116|22.5
71475|19970117|22
71475|19970120|21.75
71475|19970121|21.875
71475|19970122|22.125
71475|19970123|22.125
71475|19970124|22.5
71475|19970127|22.375
71475|19970128|22.5
71475|19970129|22.625
71475|19970130|22.25
71475|19970131|22.5
71475|19970203|22.375
71475|19970204|22.375
71475|19970205|22.25
71475|19970206|22.125
71475|19970207|22
71475|19970210|21.875
71475|19970211|22.125
71475|19970212|22.875
71475|19970213|22.625
71475|19970214|22
71475|19970218|21.875
71475|19970219|21.5
71475|19970220|21.375
71475|19970221|21.5
71475|19970224|22.5
71475|19970225|22.375
71475|19970226|22.375
71475|19970227|22.625
71475|19970228|22.5
71475|19970303|22.75
71475|19970304|22
71475|19970305|21.75
71475|19970306|21.875
71475|19970307|22.5
71475|19970310|22.875
71475|19970311|22.75
71475|19970312|21.875
71475|19970313|21.5
71475|19970314|20.75
71475|19970317|20.625
71475|19970318|21
71475|19970319|21.375
71475|19970320|21.625
71475|19970321|22.125
71475|19970324|21.75
71475|19970325|22.25
71475|19970326|22.625
71475|19970327|22.5
71475|19970331|22
71475|19970401|21.375
71475|19970402|21.375
71475|19970403|21.5
71475|19970404|21.5
71475|19970407|21.75
71475|19970408|22.125
71475|19970409|21.75
71475|19970410|22.125
71475|19970411|21.875
71475|19970414|21.75
71475|19970415|21.625
71475|19970416|21.5
71475|19970417|21.25
71475|19970418|21.125
71475|19970421|21
71475|19970422|20.75
71475|19970423|20.5
71475|19970424|20.5
71475|19970425|21.125
71475|19970428|21.5
71475|19970429|21.75
71475|19970430|21.625
71475|19970501|22.125
71475|19970502|22.375
71475|19970505|23
71475|19970506|23.125
71475|19970507|22.75
71475|19970508|22.125
71475|19970509|22.375
71475|19970512|22.25
71475|19970513|22.25
71475|19970514|22.25
71475|19970515|22.5
71475|19970516|23.125
71475|19970519|23.75
71475|19970520|23.375
71475|19970521|23.25
71475|19970522|22.75
71475|19970523|22.75
71475|19970527|22.625
71475|19970528|23.25
71475|19970529|23
71475|19970530|23.25
71475|19970602|23.5
71475|19970603|23
71475|19970604|22.75
71475|19970605|22.625
71475|19970606|23.25
71475|19970609|23.125
71475|19970610|23.5
71475|19970611|23.125
71475|19970612|22.875
71475|19970613|22.875
71475|19970616|22.875
71475|19970617|23
71475|19970618|22.625
71475|19970619|23.625
71475|19970620|23.875
71475|19970623|23.5
71475|19970624|23.375
71475|19970625|23.25
71475|19970626|23.875
71475|19970627|23.4375
71475|19970630|24.5
71475|19970701|23.875
71475|19970702|24.125
71475|19970703|24.375
71475|19970707|24.375
71475|19970708|24.25
71475|19970709|24.5
71475|19970710|24.25
71475|19970711|24.125
71475|19970714|24.3125
71475|19970715|23.25
71475|19970716|23.25
71475|19970717|23
71475|19970718|22.75
71475|19970721|22.5
71475|19970722|22.1875
71475|19970723|22.125
71475|19970724|21.5
71475|19970725|20.5
71475|19970728|21.8125
71475|19970729|22.375
71475|19970730|23.125
71475|19970731|22.8125
71475|19970801|21.875
71475|19970804|21.375
71475|19970805|21.625
71475|19970806|22.4375
71475|19970807|21.75
71475|19970808|21.5
71475|19970811|21.4375
71475|19970812|21.5625
71475|19970813|21.75
71475|19970814|21.875
71475|19970815|21.6875
71475|19970818|21.75
71475|19970819|21.75
71475|19970820|22.0625
71475|19970821|22.25
71475|19970822|22.25
71475|19970825|21.875
71475|19970826|21.4375
71475|19970827|21.9375
71475|19970828|21.875
71475|19970829|21.875
71475|19970902|22.25
71475|19970903|21.6875
71475|19970904|21.6875
71475|19970905|22.25
71475|19970908|22.375
71475|19970909|22.625
71475|19970910|22.4375
71475|19970911|22.25
71475|19970912|22.4375
71475|19970915|23.25
71475|19970916|23.625
71475|19970917|23.1875
71475|19970918|22.9375
71475|19970919|22.5
71475|19970922|22.5
71475|19970923|22.3125
71475|19970924|22.3125
71475|19970925|22.125
71475|19970926|22.125
71475|19970929|22.125
71475|19970930|22.375
71475|19971001|22.3125
71475|19971002|22.75
71475|19971003|23.0625
71475|19971006|22.875
71475|19971007|22.5625
71475|19971008|22.625
71475|19971009|21.875
71475|19971010|22.3125
71475|19971013|22.5
71475|19971014|23
71475|19971015|23.25
71475|19971016|22.75
71475|19971017|22.3125
71475|19971020|22.1875
71475|19971021|22.0625
71475|19971022|22
71475|19971023|22
71475|19971024|22.25
71475|19971027|22.0625
71475|19971028|22.0625
71475|19971029|22.3125
71475|19971030|22
71475|19971031|21.9375
71475|19971103|22.0625
71475|19971104|22
71475|19971105|21.9375
71475|19971106|22.125
